"row","col","source_name","category","output_size","non_transparent_pixels","status","output_path"
"1","1","desk_simple","desks","64x64","11256","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_simple.png"
"1","2","desk_metal","desks","64x64","10931","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_metal.png"
"1","3","table_round","tables","64x64","6278","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/tables/table_round.png"
"1","4","desk_small_drawer","desks","64x64","10080","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_small_drawer.png"
"1","5","desk_l_shape","desks","64x64","12624","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_l_shape.png"
"1","6","desk_compact","desks","64x64","5894","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_compact.png"
"1","7","desk_lamp","utilities","64x64","11560","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/desk_lamp.png"
"1","8","desk_workbench","desks","64x64","10356","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_workbench.png"
"2","1","desk_pc_old","desks","64x64","12990","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_pc_old.png"
"2","2","desk_pc_basic","desks","64x64","12465","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_pc_basic.png"
"2","3","desk_laptop","desks","64x64","11633","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_laptop.png"
"2","4","desk_dual_monitor","desks","64x64","13675","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_dual_monitor.png"
"2","5","desk_laptop_small","desks","64x64","11488","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_laptop_small.png"
"2","6","desk_tablet","desks","64x64","12804","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_tablet.png"
"2","7","desk_pc_modern","desks","64x64","12769","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_pc_modern.png"
"2","8","desk_empty","desks","64x64","12526","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_empty.png"
"3","2","chair_boss_brown","chairs","64x64","7416","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_boss_brown.png"
"3","3","chair_office_basic","chairs","64x64","4820","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_office_basic.png"
"3","4","chair_mesh","chairs","64x64","6202","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_mesh.png"
"3","6","stool","chairs","64x64","4372","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/stool.png"
"3","7","chair_wood","chairs","64x64","5859","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_wood.png"
"3","8","chair_lounge","chairs","64x64","6949","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_lounge.png"
"4","1","desk_corner_l","desks","64x64","12886","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_corner_l.png"
"4","2","desk_reception_small","infrastructure","64x64","10581","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/infrastructure/desk_reception_small.png"
"4","3","meeting_table_large","tables","64x64","10986","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/tables/meeting_table_large.png"
"4","4","meeting_table_small","tables","64x64","11026","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/tables/meeting_table_small.png"
"4","5","carpet_rect","utilities","64x64","12242","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/carpet_rect.png"
"4","6","reception_curved","infrastructure","64x64","10275","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/infrastructure/reception_curved.png"
"4","7","cabinet_storage","utilities","64x64","12134","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/cabinet_storage.png"
"4","8","printer_large","utilities","64x64","9086","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/printer_large.png"
"5","1","desk_single_monitor","desks","64x64","12006","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_single_monitor.png"
"5","2","desk_laptop_clean","desks","64x64","11306","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_laptop_clean.png"
"5","3","empty","","64x64","11355","skipped",""
"5","4","empty","","64x64","11421","skipped",""
"5","5","empty","","64x64","11961","skipped",""
"5","6","empty","","64x64","10299","skipped",""
"5","7","empty","","64x64","9149","skipped",""
"5","8","empty","","64x64","6729","skipped",""
"6","1","plant_small","plants","64x64","6513","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/plants/plant_small.png"
"6","2","plant_round","plants","64x64","7767","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/plants/plant_round.png"
"6","3","plant_medium","plants","64x64","3488","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/plants/plant_medium.png"
"6","4","plant_hanging","plants","64x64","6882","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/plants/plant_hanging.png"
"6","5","plant_bowl","plants","64x64","5606","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/plants/plant_bowl.png"
"6","6","plant_box","plants","64x64","10193","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/plants/plant_box.png"
"6","7","plant_palm","plants","64x64","6071","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/plants/plant_palm.png"
"6","8","plant_wall","plants","64x64","14140","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/plants/plant_wall.png"
"7","1","reception_main","infrastructure","64x64","9560","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/infrastructure/reception_main.png"
"7","2","water_dispenser","utilities","64x64","10013","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/water_dispenser.png"
"7","3","vending_machine","utilities","64x64","5964","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/vending_machine.png"
"7","4","snack_machine","utilities","64x64","10706","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/snack_machine.png"
"7","5","coffee_machine","utilities","64x64","8234","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/coffee_machine.png"
"7","6","info_kiosk","utilities","64x64","9731","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/info_kiosk.png"
"7","8","empty","","64x64","9631","skipped","
"8","1","elevator_closed","infrastructure","64x64","13488","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/infrastructure/elevator_closed.png"
"8","2","elevator_open","infrastructure","64x64","13460","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/infrastructure/elevator_open.png"
"8","3","glass_door","infrastructure","64x64","14023","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/infrastructure/glass_door.png"
"8","4","scanner_gate","infrastructure","64x64","6864","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/infrastructure/scanner_gate.png"
"8","5","wall_clock","utilities","64x64","6814","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/wall_clock.png"
"8","6","whiteboard","utilities","64x64","9744","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/whiteboard.png"
"8","7","trash_bin","utilities","64x64","5782","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/trash_bin.png"
"8","8","floor_mat","utilities","64x64","7881","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/utilities/floor_mat.png"
"2","1","desk_pc_old_back","desks","64x64","2882","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_pc_old_back.png"
"2","2","desk_pc_basic_back","desks","64x64","2782","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_pc_basic_back.png"
"2","3","desk_laptop_back","desks","64x64","2501","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_laptop_back.png"
"2","4","desk_dual_monitor_back","desks","64x64","3052","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_dual_monitor_back.png"
"2","5","desk_laptop_small_back","desks","64x64","2547","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_laptop_small_back.png"
"2","6","desk_tablet_back","desks","64x64","2845","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_tablet_back.png"
"2","8","desk_empty_back","desks","64x64","2834","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/desks/desk_empty_back.png"
"3","2","chair_boss_brown_back","chairs","64x64","1694","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_boss_brown_back.png"
"3","3","chair_office_basic_back","chairs","64x64","1117","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_office_basic_back.png"
"3","4","chair_mesh_back","chairs","64x64","1477","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_mesh_back.png"
"3","5","chair_simple_back","chairs","64x64","1279","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_simple_back.png"
"3","8","chair_lounge_back","chairs","64x64","1554","saved","C:\Users\Abhi7\OneDrive\Desktop\dxurjit\DevXray\assets\source\furniture\furniture/chairs/chair_lounge_back.png"
